Title,URL,date
【APEX LEGENDS】うおおおおおおおお【VTuber】,https://www.youtube.com/watch?v=-dTCi6R7x9Q,20200327
【あつ森】#3 引きこもり、旅に出たい,https://www.youtube.com/watch?v=R8eMl4GD9K0,20200328
【APEX LEGENDS】ほげえぇええ～【VTuber】,https://www.youtube.com/watch?v=zie6hu_g-7g,20200331
【PUBG】姉妹でDUおするぞ～！,https://www.youtube.com/watch?v=SVLVeniCcas,20200404
【APEX LEGENDS】正午のソロ修行【VTuber】,https://www.youtube.com/watch?v=1moexXZIFck,20200407
【APEX LEGENDS】昼のソロ修行【VTuber】,https://www.youtube.com/watch?v=hZ7YRaPF_Ds,20200408
【Fortnite】がんばっていきたいと思います【初プレイ草】,https://www.youtube.com/watch?v=0zl0izo82cI,20200410
【APEX LEGENDS】昼のソロ修行ォ,https://www.youtube.com/watch?v=HjvQ5T1xEGo,20200411
【APEX】頑張ろうの会【VTuber】,https://www.youtube.com/watch?v=upcwwx6A_z0,20200412
【APEX】のんだら当たらん【VTuber】,https://www.youtube.com/watch?v=guvl2BF869I,20200414
【APEX LEGENDS】あぺっくすGG【VTuber】,https://www.youtube.com/watch?v=LidSFtlafK0,20200414
【PUBG】るぴなすの仲間達と,https://www.youtube.com/watch?v=hhwnEuO1UEU,20200415
【APEX LEGENDS】頑張る【VTuber】,https://www.youtube.com/watch?v=6eyc5QtNBcI,20200417
【OW】配信でおばうぉするの久々【マッチしろ】,https://www.youtube.com/watch?v=tQ-fcAh4N6g,20200418
【APEX】#VTuber疑似カスタム【VTuber】,https://www.youtube.com/watch?v=XhsRimIAVOg,20200420
【APEX】弾を撃ちます【VTuber】,https://www.youtube.com/watch?v=ch8T77BlDJc,20200426
【雑談】緩い,https://www.youtube.com/watch?v=QFbk8ireoE8,20200427
【APEX】KPKP【VTuber】,https://www.youtube.com/watch?v=40moO3hGmpE,20200429
【APEX】カジュでめちゃくちゃに撃ちたい【VTuber】,https://www.youtube.com/watch?v=b2KADtKI1_o,20200502
【APEX】沼るも沼らぬもぽれ次第【ソロランク】,https://www.youtube.com/watch?v=bm4wiNI4bzQ,20200504
【APEX】沼るも沼らぬもぽれ次第#2【ソロランク】,https://www.youtube.com/watch?v=kpJ-SZjWpbc,20200504
WWWWWWWWWW,https://www.youtube.com/watch?v=sK8KWrIRycs,20200504
【APEX】沼るも沼らぬもぽれ次第#3【ソロランク】,https://www.youtube.com/watch?v=gKqfKm9JgT0,20200505
【APEX】ソロランクの闇に呑まれる（プラチナ帯）【VTuber】,https://www.youtube.com/watch?v=s4iNGtclESs,20200506
【PUBG】打败许多敌人【VTuber】,https://www.youtube.com/watch?v=BwA2A4jkAz0,20200506
【APEX】おはようソロランク（プラチナ帯）【VTuber】,https://www.youtube.com/watch?v=ys5ULxt4ZT4,20200508
【大富豪】負けられない女の闘い【花芽すみれ/LVG】,https://www.youtube.com/watch?v=UbAgyIuDx-U,20200508
【APEX】朝からランク（プラチナ帯）【VTuber】,https://www.youtube.com/watch?v=KkU7y9BGm4A,20200509
【APEX】カジュ回しやるわょ～！！！【VTuber】,https://www.youtube.com/watch?v=SRn6hAv0yKQ,20200509
【APEX】ダイヤモンドの女になりたい（プラチナ帯）【ランク】,https://www.youtube.com/watch?v=L_X0mNzcwvc,20200511
【APEX】ちりつもなプラチナ（ソロランク）【花芽すみれ/LVG】,https://www.youtube.com/watch?v=wyAFB2FG3vk,20200511
【APEX】ガチャ引く＋GGの女たちであぺり【花芽すみれ/LVG】,https://www.youtube.com/watch?v=5lsv2FulVk0,20200511
【APEX】新シーズンきちゃ！ランク行きます…！【花芽すみれ/LVG】,https://www.youtube.com/watch?v=lxjVRx1JzzE,20200513
【APEX】なずなさんと一ノ瀬さんとランク【花芽すみれ/LVG】,https://www.youtube.com/watch?v=BbLrIvsxCm4,20200514
【APEX】ららららんく【花芽すみれ/LVG】,https://www.youtube.com/watch?v=oN1UQV2hLyU,20200515
【GTA5】ギャングる【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=nsXSIAPrOOU,20200515
【DBD】みんなでカスタムマッチわょ【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=a0eLHTFU11w,20200516
【APEX】魔境のプラチナ帯【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=TIsp1j0X3sU,20200518
【APEX】息抜きにカジュでも【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=jY1_QsabjXk,20200519
【APEX】魔境のプラチナ帯withフレンズ【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=DvHE8L9Tdco,20200520
【APEX/Vtuber】GGでランク回すよ【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=DKHYd2oKGSY,20200521
【APEX】息抜きのカジュ（ねむい）【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=FBgpSnPBxbs,20200521
【PUBG】ランクマッチ実装されたみたいですね…！【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=A6E7ve6eKVs,20200522
【PUBG耐久】全マップドン勝しないと終わらんらしい…【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=ycN00m0N_vY,20200523
【APEX】マスティフとの和解【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=0vHOK33_sC4,20200523
【APEX】ダイヤの女、今日もソロランク【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=kZLxu_WwmhQ,20200525
【APEX】わーるどえっじいおかえり～～！（素振り）【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=_1nOCplJafk,20200526
【APEX】は～あ、ソロランクの女（ダイヤ）【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=jKzKAjNqikA,20200528
【Raft】作業サボるなって言われた【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=Kyi2GkeXudg,20200529
【APEX】ダイヤ４の魔境（ソロランク）【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=exfBTwE4pG0,20200530
【APEX】まったりカジュえっじ【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=l_ASbW67kyU,20200531
【VALORANT】新作FPSに出会う【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=U7cPusWTE3M,20200602
【VALORANT】姉妹で朝ヴァロ活～！【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=AUCeJ-qrGps,20200603
【VALORANT】フルパ女子でいく～！【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=_eGZvRybyHg,20200603
【APEX】朝活ソロランクの旅（ダイヤⅢ）【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=ov3le5B5EOw,20200606
ひさびさにのんびり話そ,https://www.youtube.com/watch?v=IYbpn4mT8uM,20200606
【APEX】カジュアルぶん回す！！【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=-N-Jbpb-rTs,20200607
【APEX】カジュ/ランク回すよ！【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=djbOE1NRcxc,20200609
【APEX】懐かしの私たちGG【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=5NpMPNyTdKQ,20200610
【VALORANT】ハービンジャーすみれ【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=ixmqO8YqZmU,20200611
【PUBG】感覚を忘れたこのゲーム【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=rPGFxeIR5m8,20200612
【APEX】ティフマス使いおれ【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=pD3zWpHT3uY,20200613
【行方不明】これ怖くないんスよね~＾＾；【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=JFLG7Pe5zX0,20200613
【APEX】いっぱいキルしたいカジュのぶん回し【LVG / 花芽すみれ】,https://www.youtube.com/watch?v=OPvZNvJ9MXI,20200615
